incident_severity,umbrella_limit,witnesses,vehicle_claim,incident_city,total_claim_amount,insured_hobbies,authorities_contacted,property_claim,incident_state,policy_state,bodily_injuries,policy_csl,insured_sex,injury_claim,auto_make,number_of_vehicles_involved,police_report_available,incident_type,insured_relationship,fraud_reported
Minor Damage,0,3,44800,Columbus,70400,movies,Other,12800,SC,OH,1,100/300,FEMALE,12800,BMW,1,NO,Single Vehicle Collision,wife,N
Major Damage,0,2,47340,Northbend,57860,skydiving,Police,10520,NY,IL,2,250/500,MALE,0,Suburu,1,YES,Single Vehicle Collision,own-child,Y
Minor Damage,0,3,4320,Northbend,6240,sleeping,,960,WV,IL,0,500/1000,MALE,960,Ford,1,NO,Vehicle Theft,other-relative,N
Total Loss,5000000,3,38850,Columbus,66600,board-games,Police,11100,VA,IN,2,100/300,FEMALE,16650,Jeep,1,NO,Single Vehicle Collision,unmarried,Y
Minor Damage,0,2,47280,Hillsdale,70920,hiking,Police,11820,VA,IN,0,100/300,MALE,11820,Jeep,1,YES,Single Vehicle Collision,unmarried,N
Minor Damage,6000000,0,26320,Springfield,39480,skydiving,Ambulance,6580,WV,OH,2,250/500,MALE,6580,Suburu,1,YES,Single Vehicle Collision,own-child,N
Total Loss,6000000,2,47430,Arlington,63240,base-jumping,Other,5270,VA,IN,2,500/1000,FEMALE,10540,Mercedes,1,YES,Single Vehicle Collision,husband,N
Total Loss,0,0,49200,Arlington,67650,cross-fit,Other,6150,SC,IL,1,100/300,MALE,12300,Audi,3,NO,Multi-vehicle Collision,not-in-family,N
Major Damage,7000000,3,44520,Riverwood,74200,bungie-jumping,Fire,14840,SC,IL,1,100/300,FEMALE,14840,Accura,1,NO,Single Vehicle Collision,unmarried,Y
Minor Damage,0,3,38940,Columbus,64900,polo,Other,12980,VA,OH,1,500/1000,FEMALE,12980,Volkswagen,1,NO,Single Vehicle Collision,own-child,N
Major Damage,0,0,25130,Northbend,35900,paintball,Ambulance,3590,NC,IL,1,500/1000,FEMALE,7180,Audi,3,NO,Multi-vehicle Collision,other-relative,Y
Minor Damage,3000000,3,36540,Riverwood,52200,camping,Fire,10440,VA,IN,1,100/300,FEMALE,5220,Honda,1,NO,Single Vehicle Collision,unmarried,N
Minor Damage,0,2,58500,Hillsdale,78000,skydiving,Police,13000,SC,OH,0,100/300,MALE,6500,Suburu,1,NO,Single Vehicle Collision,own-child,N
Minor Damage,0,0,53760,Springfield,67200,base-jumping,Ambulance,6720,NY,IN,0,500/1000,FEMALE,6720,Volkswagen,3,NO,Multi-vehicle Collision,own-child,N
Total Loss,0,0,46000,Hillsdale,63250,golf,Fire,5750,WV,OH,0,100/300,FEMALE,11500,Nissan,1,NO,Single Vehicle Collision,unmarried,N
Major Damage,0,1,51570,Columbus,68760,paintball,Other,5730,WV,IL,1,250/500,FEMALE,11460,Ford,3,YES,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,2,43360,Springfield,65040,movies,Police,10840,NY,OH,0,250/500,MALE,10840,Suburu,3,NO,Multi-vehicle Collision,other-relative,N
Major Damage,0,3,48300,Springfield,82800,yachting,Ambulance,13800,SC,IL,1,100/300,MALE,20700,Jeep,1,NO,Single Vehicle Collision,wife,Y
Total Loss,0,0,49360,Columbus,61700,basketball,Other,6170,SC,OH,1,500/1000,MALE,6170,Saab,1,YES,Single Vehicle Collision,unmarried,N
Major Damage,2000000,1,54670,Columbus,78100,polo,Ambulance,7810,OH,IN,2,250/500,FEMALE,15620,Chevrolet,3,YES,Multi-vehicle Collision,unmarried,Y
Major Damage,0,1,46800,Northbend,65520,paintball,Ambulance,9360,SC,IN,2,100/300,FEMALE,9360,Toyota,3,NO,Multi-vehicle Collision,other-relative,Y
Trivial Damage,0,2,3600,Arlington,4500,polo,,450,VA,IN,0,100/300,MALE,450,Saab,1,NO,Parked Car,own-child,N
Major Damage,0,2,36600,Northbend,42700,reading,Other,6100,WV,OH,0,100/300,FEMALE,0,Mercedes,3,NO,Multi-vehicle Collision,own-child,Y
Minor Damage,0,2,4340,Hillsdale,5580,polo,Police,620,SC,OH,2,500/1000,FEMALE,620,Volkswagen,1,YES,Parked Car,own-child,Y
Minor Damage,0,0,2520,Arlington,3600,chess,,720,NC,IN,0,100/300,FEMALE,360,BMW,1,NO,Parked Car,wife,Y
Trivial Damage,7000000,0,2240,Northbrook,2800,dancing,,280,SC,IL,2,250/500,FEMALE,280,Volkswagen,1,NO,Vehicle Theft,own-child,N
Minor Damage,0,0,42000,Northbend,54000,hiking,Ambulance,6000,VA,OH,1,500/1000,FEMALE,6000,Toyota,1,YES,Single Vehicle Collision,own-child,N
Minor Damage,0,2,35600,Northbend,48950,yachting,Police,8900,NC,IN,0,250/500,FEMALE,4450,Accura,1,NO,Single Vehicle Collision,wife,Y
Major Damage,0,1,46680,Northbend,77800,hiking,Other,15560,WV,IL,0,500/1000,MALE,15560,Dodge,4,NO,Multi-vehicle Collision,other-relative,N
Major Damage,0,1,35040,Columbus,52560,exercise,Other,5840,NC,IN,2,100/300,MALE,11680,Saab,3,NO,Multi-vehicle Collision,other-relative,N
Total Loss,0,2,32080,Riverwood,44110,dancing,Police,8020,VA,OH,1,500/1000,FEMALE,4010,Honda,2,YES,Multi-vehicle Collision,own-child,N
Total Loss,0,3,54080,Hillsdale,74360,video-games,Other,6760,SC,IL,1,500/1000,FEMALE,13520,Suburu,1,NO,Single Vehicle Collision,husband,N
Minor Damage,6000000,2,4760,Arlington,6120,base-jumping,,680,WV,OH,1,250/500,FEMALE,680,Honda,1,NO,Parked Car,wife,Y
Minor Damage,6000000,0,46710,Northbend,62280,chess,Police,10380,SC,IL,0,500/1000,MALE,5190,Suburu,4,YES,Multi-vehicle Collision,unmarried,N
Total Loss,6000000,0,17010,Springfield,26730,reading,Other,4860,NY,IL,1,250/500,FEMALE,4860,Volkswagen,3,YES,Multi-vehicle Collision,other-relative,N
Major Damage,0,0,52960,Arlington,66200,exercise,Ambulance,6620,WV,OH,1,500/1000,FEMALE,6620,Dodge,1,NO,Single Vehicle Collision,own-child,N
Total Loss,6000000,2,31850,Northbrook,45500,polo,Fire,4550,VA,OH,1,100/300,MALE,9100,Toyota,1,NO,Single Vehicle Collision,not-in-family,N
Minor Damage,0,0,44200,Springfield,53040,sleeping,Ambulance,4420,NY,IN,2,100/300,MALE,4420,Audi,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,0,2,35560,Columbus,50800,reading,Other,5080,VA,OH,1,100/300,MALE,10160,Mercedes,3,NO,Multi-vehicle Collision,other-relative,Y
Total Loss,6000000,3,35360,Northbend,44200,sleeping,Police,4420,SC,IN,1,250/500,FEMALE,4420,Audi,3,NO,Multi-vehicle Collision,own-child,N
Minor Damage,0,3,45760,Springfield,62920,base-jumping,Police,5720,SC,IL,1,500/1000,FEMALE,11440,Chevrolet,1,NO,Single Vehicle Collision,other-relative,N
Minor Damage,0,2,38850,Springfield,49950,golf,Other,5550,NY,OH,0,250/500,MALE,5550,Nissan,3,YES,Multi-vehicle Collision,not-in-family,Y
Minor Damage,0,1,43890,Arlington,56430,chess,Ambulance,6270,NC,IL,0,250/500,MALE,6270,BMW,1,YES,Single Vehicle Collision,unmarried,Y
Minor Damage,0,2,63770,Riverwood,100210,board-games,Police,18220,NY,IL,2,250/500,FEMALE,18220,Audi,1,YES,Single Vehicle Collision,own-child,N
Minor Damage,0,0,38220,Northbend,49140,base-jumping,Fire,5460,NY,OH,1,500/1000,MALE,5460,Ford,3,YES,Multi-vehicle Collision,wife,N
Major Damage,0,1,44560,Northbrook,66840,paintball,Ambulance,5570,WV,OH,0,250/500,FEMALE,16710,Mercedes,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,0,2,48580,Hillsdale,62460,camping,Other,6940,NY,IN,1,500/1000,MALE,6940,Honda,1,NO,Single Vehicle Collision,wife,N
Total Loss,5000000,1,39970,Columbus,62810,base-jumping,Other,11420,NY,OH,0,100/300,MALE,11420,Nissan,3,NO,Multi-vehicle Collision,wife,N
Major Damage,2000000,2,40620,Northbrook,54160,sleeping,Ambulance,6770,WV,OH,1,500/1000,FEMALE,6770,Suburu,1,NO,Single Vehicle Collision,own-child,N
Major Damage,0,2,33880,Arlington,48400,golf,Ambulance,4840,WV,IL,0,100/300,FEMALE,9680,Saab,1,NO,Single Vehicle Collision,unmarried,N
Total Loss,3000000,0,40040,Arlington,51480,golf,Fire,5720,NY,IN,0,250/500,MALE,5720,Toyota,3,NO,Multi-vehicle Collision,other-relative,N
Total Loss,0,1,36190,Columbus,51700,board-games,Fire,10340,NY,OH,2,100/300,FEMALE,5170,Saab,3,NO,Multi-vehicle Collision,husband,N
Total Loss,0,2,49140,Northbend,65520,video-games,Other,5460,WV,OH,1,250/500,MALE,10920,Volkswagen,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,7000000,2,33390,Arlington,47700,reading,Other,9540,OH,IN,2,500/1000,MALE,4770,Accura,4,NO,Multi-vehicle Collision,own-child,Y
Minor Damage,0,0,4060,Northbend,5220,video-games,,580,SC,OH,2,250/500,FEMALE,580,Accura,1,NO,Vehicle Theft,not-in-family,N
Major Damage,6000000,0,54990,Riverwood,73320,exercise,Other,12220,NY,IN,1,100/300,MALE,6110,Ford,1,NO,Single Vehicle Collision,unmarried,N
Minor Damage,0,2,52430,Hillsdale,74900,dancing,Fire,7490,VA,IN,0,100/300,MALE,14980,Jeep,1,YES,Single Vehicle Collision,wife,N
Trivial Damage,0,1,2320,Columbus,3190,dancing,Police,290,WV,OH,0,250/500,FEMALE,580,Saab,1,YES,Vehicle Theft,unmarried,N
Minor Damage,6000000,0,57690,Columbus,76920,exercise,Ambulance,6410,NY,IN,1,100/300,MALE,12820,Chevrolet,1,YES,Single Vehicle Collision,own-child,N
Total Loss,0,3,56720,Springfield,77990,video-games,Police,14180,WV,OH,1,250/500,FEMALE,7090,Jeep,2,NO,Multi-vehicle Collision,not-in-family,N
Total Loss,0,0,41310,Columbus,59670,base-jumping,Fire,9180,NY,IL,1,500/1000,MALE,9180,Ford,1,NO,Single Vehicle Collision,own-child,N
Major Damage,0,0,32640,Columbus,44880,skydiving,Ambulance,4080,NY,IN,2,100/300,FEMALE,8160,Mercedes,3,NO,Multi-vehicle Collision,husband,Y
Minor Damage,0,2,60240,Northbend,82830,skydiving,Ambulance,15060,NC,IN,0,100/300,MALE,7530,Audi,1,NO,Single Vehicle Collision,other-relative,N
Minor Damage,0,3,61440,Riverwood,84480,cross-fit,Other,15360,SC,OH,1,500/1000,FEMALE,7680,Chevrolet,1,NO,Single Vehicle Collision,unmarried,Y
Total Loss,4000000,3,55860,Hillsdale,79800,skydiving,Fire,7980,WV,IN,2,100/300,FEMALE,15960,Honda,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,3,33740,Arlington,53020,exercise,Police,9640,WV,OH,0,500/1000,MALE,9640,Toyota,3,YES,Multi-vehicle Collision,husband,N
Total Loss,0,0,17600,Hillsdale,24200,sleeping,Police,4400,VA,IN,0,500/1000,FEMALE,2200,Suburu,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,3,27510,Riverwood,43230,camping,Fire,7860,OH,OH,1,250/500,MALE,7860,Chevrolet,1,YES,Single Vehicle Collision,unmarried,N
Trivial Damage,0,3,2320,Springfield,3190,cross-fit,,580,NC,OH,2,250/500,FEMALE,290,Ford,1,NO,Vehicle Theft,unmarried,N
Minor Damage,0,3,3900,Northbrook,5850,polo,,650,WV,IN,0,100/300,FEMALE,1300,BMW,1,NO,Parked Car,not-in-family,N
Trivial Damage,0,0,4960,Arlington,6820,video-games,Police,1240,SC,OH,2,250/500,FEMALE,620,BMW,1,YES,Parked Car,not-in-family,N
Minor Damage,0,2,46320,Riverwood,69480,camping,Fire,11580,NY,OH,2,250/500,FEMALE,11580,Chevrolet,3,NO,Multi-vehicle Collision,not-in-family,N
Major Damage,0,2,70920,Northbend,94560,movies,Fire,15760,PA,IL,1,100/300,MALE,7880,Jeep,3,YES,Multi-vehicle Collision,own-child,N
Minor Damage,0,2,6240,Riverwood,7800,paintball,,780,NC,OH,1,500/1000,MALE,780,Dodge,1,NO,Vehicle Theft,unmarried,N
Total Loss,4000000,3,44560,Northbrook,61270,basketball,Other,11140,WV,OH,1,500/1000,FEMALE,5570,Suburu,1,NO,Single Vehicle Collision,unmarried,N
Total Loss,0,2,53580,Riverwood,71440,bungie-jumping,Police,8930,NY,OH,0,500/1000,FEMALE,8930,Mercedes,1,YES,Single Vehicle Collision,wife,N
Total Loss,0,2,38920,Hillsdale,55600,exercise,Ambulance,5560,NY,OH,1,250/500,FEMALE,11120,Jeep,1,YES,Single Vehicle Collision,unmarried,N
Trivial Damage,0,3,3500,Riverwood,5000,board-games,Police,500,NC,IN,1,500/1000,MALE,1000,Jeep,1,NO,Vehicle Theft,unmarried,N
Minor Damage,5000000,0,66330,Springfield,95810,paintball,Other,14740,NY,IL,2,250/500,FEMALE,14740,BMW,1,NO,Single Vehicle Collision,own-child,N
Major Damage,0,2,48510,Northbend,69300,chess,Ambulance,13860,SC,IN,2,100/300,FEMALE,6930,Volkswagen,1,NO,Single Vehicle Collision,husband,N
Total Loss,0,0,47320,Northbend,81120,video-games,Ambulance,20280,SC,IN,1,250/500,MALE,13520,Toyota,1,NO,Single Vehicle Collision,other-relative,N
Major Damage,0,0,63180,Columbus,91260,hiking,Other,14040,WV,IN,0,500/1000,MALE,14040,Toyota,1,NO,Single Vehicle Collision,husband,N
Minor Damage,0,0,42420,Northbend,60600,kayaking,Fire,12120,SC,IN,0,100/300,FEMALE,6060,Ford,1,NO,Single Vehicle Collision,wife,N
Major Damage,0,3,45360,Arlington,64800,base-jumping,Ambulance,12960,NY,IN,0,500/1000,MALE,6480,Suburu,3,YES,Multi-vehicle Collision,husband,Y
Major Damage,0,0,48640,Northbrook,66880,basketball,Police,12160,WV,OH,0,500/1000,FEMALE,6080,Chevrolet,4,NO,Multi-vehicle Collision,other-relative,Y
Total Loss,0,2,46560,Arlington,58200,cross-fit,Ambulance,5820,WV,IL,0,500/1000,MALE,5820,BMW,1,NO,Single Vehicle Collision,not-in-family,N
Minor Damage,4000000,0,47110,Hillsdale,60570,polo,Police,6730,NC,IN,1,100/300,FEMALE,6730,Nissan,1,NO,Single Vehicle Collision,own-child,N
Major Damage,0,0,52260,Springfield,69680,camping,Ambulance,8710,NC,IL,0,100/300,FEMALE,8710,Mercedes,3,NO,Multi-vehicle Collision,other-relative,Y
Total Loss,0,3,38990,Columbus,55700,bungie-jumping,Fire,11140,NY,IN,2,500/1000,MALE,5570,Nissan,1,NO,Single Vehicle Collision,own-child,N
Total Loss,10000000,2,51030,Arlington,62370,sleeping,Ambulance,5670,OH,IN,1,250/500,FEMALE,5670,Dodge,4,YES,Multi-vehicle Collision,other-relative,N
Total Loss,0,0,44460,Columbus,54340,yachting,Other,0,VA,OH,0,500/1000,FEMALE,9880,Saab,3,YES,Multi-vehicle Collision,not-in-family,N
Major Damage,0,0,42910,Northbend,55170,base-jumping,Police,6130,NC,OH,1,100/300,FEMALE,6130,Audi,1,NO,Single Vehicle Collision,other-relative,Y
Minor Damage,0,3,40950,Columbus,58500,exercise,Other,5850,NY,IL,2,100/300,MALE,11700,Dodge,1,YES,Single Vehicle Collision,wife,N
Major Damage,0,3,46620,Riverwood,59940,skydiving,Fire,6660,NC,OH,0,100/300,MALE,6660,Honda,1,NO,Single Vehicle Collision,own-child,N
Total Loss,0,0,58720,Northbend,73400,reading,Police,7340,PA,OH,1,250/500,MALE,7340,Dodge,1,NO,Single Vehicle Collision,wife,N
Major Damage,0,2,32550,Riverwood,41850,bungie-jumping,Fire,4650,PA,IL,1,100/300,MALE,4650,Suburu,1,NO,Single Vehicle Collision,other-relative,N
Trivial Damage,6000000,2,4480,Hillsdale,6400,chess,Police,1280,NC,OH,2,500/1000,FEMALE,640,Mercedes,1,NO,Parked Car,not-in-family,Y
Trivial Damage,0,1,2320,Northbrook,3190,sleeping,Police,290,WV,IL,1,500/1000,FEMALE,580,Audi,1,NO,Vehicle Theft,own-child,N
Trivial Damage,0,1,4720,Hillsdale,5900,polo,,590,VA,IN,2,250/500,MALE,590,Nissan,1,YES,Parked Car,unmarried,N
Total Loss,0,2,44590,Columbus,57330,yachting,Fire,6370,NY,IN,0,500/1000,MALE,6370,Dodge,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,0,3,54640,Hillsdale,81960,board-games,Other,13660,WV,OH,0,100/300,MALE,13660,Dodge,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,0,0,44800,Hillsdale,70400,exercise,Fire,19200,SC,IN,0,250/500,FEMALE,6400,Suburu,1,NO,Single Vehicle Collision,wife,Y
Minor Damage,0,1,2610,Columbus,3770,paintball,,580,VA,IN,2,500/1000,FEMALE,580,Jeep,1,NO,Parked Car,not-in-family,N
Minor Damage,6000000,0,5180,Arlington,7400,reading,,1480,NC,IN,0,500/1000,FEMALE,740,Dodge,1,NO,Parked Car,other-relative,N
Total Loss,0,1,42630,Northbend,54810,chess,Police,6090,SC,IN,1,500/1000,FEMALE,6090,Chevrolet,1,NO,Single Vehicle Collision,unmarried,Y
Total Loss,6000000,3,34580,Springfield,49400,dancing,Fire,9880,NY,IN,2,250/500,FEMALE,4940,Jeep,1,YES,Single Vehicle Collision,own-child,N
Minor Damage,0,2,50000,Riverwood,68750,exercise,Fire,6250,NC,IL,2,250/500,MALE,12500,Chevrolet,1,NO,Single Vehicle Collision,wife,N
Total Loss,0,0,43050,Arlington,61500,yachting,Ambulance,6150,SC,OH,1,100/300,FEMALE,12300,Dodge,1,NO,Single Vehicle Collision,other-relative,N
Major Damage,0,3,55920,Northbend,76890,reading,Ambulance,13980,WV,IL,0,100/300,FEMALE,6990,BMW,4,NO,Multi-vehicle Collision,husband,N
Minor Damage,5000000,1,37380,Northbrook,56070,base-jumping,Ambulance,12460,NY,OH,0,100/300,FEMALE,6230,Toyota,1,NO,Single Vehicle Collision,husband,N
Total Loss,0,0,42000,Northbrook,56000,reading,Fire,0,SC,IN,2,100/300,FEMALE,14000,Chevrolet,1,YES,Single Vehicle Collision,husband,N
Trivial Damage,0,0,3120,Hillsdale,4290,board-games,,390,NY,IL,1,500/1000,FEMALE,780,Audi,1,NO,Parked Car,unmarried,N
Total Loss,0,1,47250,Arlington,60750,reading,Other,6750,NY,IL,2,250/500,FEMALE,6750,Suburu,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,3,39870,Northbend,48730,board-games,Other,4430,NY,IL,2,250/500,FEMALE,4430,Chevrolet,1,NO,Single Vehicle Collision,not-in-family,N
Minor Damage,0,0,60550,Springfield,95150,video-games,Police,17300,WV,IL,2,500/1000,MALE,17300,Ford,3,NO,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,1,6120,Columbus,7480,yachting,Police,680,NY,IN,0,100/300,MALE,680,Dodge,1,YES,Vehicle Theft,husband,N
Major Damage,0,1,59850,Riverwood,79800,movies,Ambulance,6650,NC,IL,2,100/300,MALE,13300,Volkswagen,1,YES,Single Vehicle Collision,own-child,Y
Total Loss,9000000,2,77670,Hillsdale,103560,board-games,Other,17260,NC,OH,0,500/1000,FEMALE,8630,Jeep,1,NO,Single Vehicle Collision,unmarried,N
Minor Damage,0,3,55650,Hillsdale,79500,yachting,Ambulance,7950,NY,IN,2,500/1000,FEMALE,15900,Accura,1,NO,Single Vehicle Collision,other-relative,N
Minor Damage,0,2,55440,Riverwood,76230,base-jumping,Other,13860,SC,OH,2,250/500,FEMALE,6930,Volkswagen,1,NO,Single Vehicle Collision,other-relative,Y
Minor Damage,0,2,39680,Northbend,59520,board-games,Ambulance,9920,WV,IL,0,100/300,MALE,9920,Honda,1,NO,Single Vehicle Collision,own-child,N
Major Damage,0,1,35820,Arlington,47760,hiking,Police,5970,SC,IL,2,100/300,FEMALE,5970,Suburu,3,NO,Multi-vehicle Collision,own-child,Y
Total Loss,0,0,61520,Springfield,84590,golf,Police,7690,NY,IL,2,100/300,MALE,15380,Saab,3,NO,Multi-vehicle Collision,wife,N
Total Loss,0,2,47950,Columbus,61650,skydiving,Other,6850,SC,OH,2,500/1000,MALE,6850,Nissan,3,NO,Multi-vehicle Collision,other-relative,N
Major Damage,6000000,1,65120,Springfield,81400,dancing,Police,8140,VA,IL,2,500/1000,FEMALE,8140,BMW,1,NO,Single Vehicle Collision,unmarried,N
Major Damage,0,1,42480,Northbend,58410,camping,Fire,5310,SC,IN,0,100/300,FEMALE,10620,Chevrolet,3,YES,Multi-vehicle Collision,wife,N
Major Damage,0,0,31590,Springfield,38610,exercise,Ambulance,3510,VA,IL,0,250/500,FEMALE,3510,Volkswagen,3,NO,Multi-vehicle Collision,other-relative,N
Minor Damage,5000000,2,38400,Northbrook,57600,yachting,Fire,9600,WV,OH,2,100/300,FEMALE,9600,Volkswagen,3,NO,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,2,35460,Hillsdale,53190,kayaking,Fire,11820,NC,IL,2,100/300,FEMALE,5910,Volkswagen,3,NO,Multi-vehicle Collision,not-in-family,N
Major Damage,0,3,40810,Riverwood,58300,skydiving,Other,11660,NY,OH,2,100/300,FEMALE,5830,Nissan,1,NO,Single Vehicle Collision,husband,Y
Minor Damage,6000000,2,57440,Springfield,64620,video-games,Ambulance,0,WV,IL,1,500/1000,MALE,7180,Dodge,3,NO,Multi-vehicle Collision,unmarried,N
Total Loss,0,0,60320,Riverwood,90480,hiking,Ambulance,15080,WV,IL,2,250/500,MALE,15080,BMW,3,YES,Multi-vehicle Collision,not-in-family,N
Trivial Damage,0,0,4720,Columbus,7080,kayaking,,1180,SC,IL,1,100/300,FEMALE,1180,Nissan,1,NO,Vehicle Theft,wife,N
Minor Damage,7000000,2,4720,Springfield,6490,chess,Police,1180,PA,IL,2,500/1000,MALE,590,Toyota,1,NO,Parked Car,other-relative,Y
Total Loss,0,1,44720,Hillsdale,55900,golf,Police,5590,NC,OH,1,500/1000,FEMALE,5590,Nissan,3,NO,Multi-vehicle Collision,other-relative,N
Major Damage,0,3,51040,Columbus,63800,polo,Other,6380,SC,IL,0,250/500,MALE,6380,Saab,1,YES,Single Vehicle Collision,husband,Y
Total Loss,0,1,43620,Northbend,58160,cross-fit,Police,7270,VA,OH,0,100/300,MALE,7270,Saab,1,YES,Single Vehicle Collision,other-relative,Y
Minor Damage,0,2,4410,Riverwood,6300,chess,Police,1260,NC,IL,1,500/1000,MALE,630,Mercedes,1,NO,Vehicle Theft,unmarried,Y
Major Damage,0,1,66570,Arlington,104610,yachting,Fire,19020,WV,IN,2,250/500,MALE,19020,Mercedes,1,NO,Single Vehicle Collision,other-relative,Y
Major Damage,6000000,2,50800,Springfield,69850,sleeping,Fire,6350,SC,IL,0,100/300,MALE,12700,Ford,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,0,44030,Northbrook,62900,polo,Fire,6290,PA,OH,0,250/500,FEMALE,12580,Accura,1,NO,Single Vehicle Collision,other-relative,N
Major Damage,0,3,46410,Riverwood,59670,golf,Other,6630,WV,IN,0,500/1000,MALE,6630,Volkswagen,3,NO,Multi-vehicle Collision,not-in-family,Y
Minor Damage,0,0,57050,Springfield,81500,camping,Other,8150,NY,IL,2,100/300,MALE,16300,BMW,2,NO,Multi-vehicle Collision,unmarried,N
Minor Damage,0,0,30000,Springfield,50000,video-games,Ambulance,5000,NC,OH,2,100/300,MALE,15000,Jeep,1,NO,Single Vehicle Collision,own-child,N
Total Loss,0,1,30730,Springfield,48290,exercise,Other,8780,NY,IN,2,100/300,MALE,8780,Nissan,1,NO,Single Vehicle Collision,husband,N
Total Loss,0,0,48330,Riverwood,59070,golf,Fire,5370,VA,OH,0,500/1000,MALE,5370,Chevrolet,1,NO,Single Vehicle Collision,husband,N
Minor Damage,0,0,44310,Springfield,63300,yachting,Police,6330,NY,IN,0,500/1000,FEMALE,12660,Dodge,3,NO,Multi-vehicle Collision,other-relative,N
Total Loss,0,3,41860,Northbend,65780,exercise,Other,11960,SC,IL,0,100/300,MALE,11960,Mercedes,1,YES,Single Vehicle Collision,own-child,N
Total Loss,0,2,52200,Columbus,75400,cross-fit,Ambulance,11600,NY,OH,0,250/500,MALE,11600,Dodge,3,NO,Multi-vehicle Collision,not-in-family,Y
Minor Damage,0,1,1750,Arlington,2250,movies,,250,WV,OH,1,500/1000,MALE,250,Toyota,1,NO,Vehicle Theft,unmarried,N
Minor Damage,6000000,3,40590,Northbend,54120,reading,Ambulance,9020,VA,IL,1,100/300,FEMALE,4510,Jeep,3,NO,Multi-vehicle Collision,unmarried,N
Major Damage,0,2,46320,Northbrook,69480,camping,Other,11580,NY,OH,0,250/500,MALE,11580,Saab,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,2,46350,Northbend,66950,reading,Police,10300,NY,IN,1,100/300,FEMALE,10300,Chevrolet,1,NO,Single Vehicle Collision,not-in-family,N
Major Damage,0,3,44870,Northbrook,64100,board-games,Other,6410,OH,OH,2,250/500,FEMALE,12820,Dodge,3,NO,Multi-vehicle Collision,own-child,Y
Minor Damage,0,3,53520,Springfield,80280,camping,Other,13380,SC,IN,0,100/300,MALE,13380,Chevrolet,1,NO,Single Vehicle Collision,unmarried,N
Trivial Damage,6000000,2,4160,Northbend,4680,hiking,Police,0,NY,IL,1,500/1000,MALE,520,Accura,1,NO,Vehicle Theft,husband,N
Minor Damage,0,1,26480,Springfield,39720,base-jumping,Ambulance,6620,NY,OH,1,500/1000,MALE,6620,Accura,4,NO,Multi-vehicle Collision,wife,N
Major Damage,0,0,52020,Arlington,63580,exercise,Police,5780,NY,IL,0,250/500,MALE,5780,Mercedes,1,NO,Single Vehicle Collision,not-in-family,Y
Minor Damage,0,1,53360,Northbend,73370,camping,Other,6670,NC,IN,1,100/300,FEMALE,13340,Saab,1,YES,Single Vehicle Collision,own-child,N
Minor Damage,0,3,55230,Northbrook,86790,paintball,Police,23670,SC,OH,2,500/1000,FEMALE,7890,Honda,1,YES,Single Vehicle Collision,other-relative,N
Major Damage,0,2,34860,Columbus,49800,sleeping,Police,4980,WV,IN,0,250/500,MALE,9960,Mercedes,1,NO,Single Vehicle Collision,husband,N
Major Damage,0,1,56320,Hillsdale,77440,exercise,Other,14080,WV,IL,1,100/300,FEMALE,7040,Nissan,1,NO,Single Vehicle Collision,husband,N
Total Loss,8000000,0,34320,Springfield,42900,board-games,Other,0,SC,IL,1,500/1000,FEMALE,8580,Accura,1,NO,Single Vehicle Collision,own-child,N
Major Damage,6000000,0,35880,Hillsdale,53820,skydiving,Fire,5980,VA,OH,1,100/300,FEMALE,11960,Ford,2,NO,Multi-vehicle Collision,wife,Y
Minor Damage,6000000,1,38220,Hillsdale,57330,reading,Police,6370,WV,IL,2,100/300,MALE,12740,Jeep,1,NO,Single Vehicle Collision,other-relative,N
Minor Damage,0,1,41510,Riverwood,53370,paintball,Police,5930,NY,IL,2,500/1000,FEMALE,5930,Nissan,3,NO,Multi-vehicle Collision,other-relative,N
Minor Damage,0,2,38720,Northbrook,62920,yachting,Police,14520,NY,IL,2,100/300,MALE,9680,Accura,1,YES,Single Vehicle Collision,husband,N
Total Loss,0,1,43120,Arlington,61600,board-games,Fire,12320,NY,IN,0,500/1000,FEMALE,6160,Honda,3,NO,Multi-vehicle Collision,unmarried,N
Total Loss,0,0,55620,Northbend,74160,golf,Police,12360,NY,IL,2,500/1000,MALE,6180,Mercedes,3,NO,Multi-vehicle Collision,unmarried,N
Total Loss,0,0,62300,Arlington,80100,reading,Police,8900,WV,OH,2,250/500,MALE,8900,Audi,1,NO,Single Vehicle Collision,husband,N
Trivial Damage,0,3,4920,Hillsdale,6560,paintball,Police,820,NY,OH,2,500/1000,FEMALE,820,Volkswagen,1,NO,Parked Car,husband,N
